year,name,total_ticks_collected,tick_population_density,ticks_tested,b_burgdorferi_percent,county_centroid,lyme_count,lyme_rate,abbrev,gnis_id,fips_code,swis,nysp_zone,pop1990,pop2000,pop2010,pop2020,dos_ll,dosll_date,nyc,calc_sq_mi,datemod,shape_leng,shape_area,geometry,jan_19,feb_19,mar_19,apr_19,may_19,jun_19,jul_19,aug_19,sep_19,oct_19,nov_19,dec_19,jan_20,feb_20,mar_20,apr_20,may_20,jun_20,jul_20,aug_20,sep_20,oct_20,nov_20,dec_20,jan_21,feb_21,mar_21,apr_21,may_21,jun_21,jul_21,aug_21,sep_21,oct_21,nov_21,dec_21,jan_22,feb_22,mar_22,apr_22,may_22,jun_22,jul_22,aug_22,sep_22,oct_22,nov_22,dec_22
2021,Allegany,200,76.8,50,60,"(42.2478938, -78.0261758)",59,42.3,ALLE,974100,36003,20000,West,50470,49927,48946,46456,NA,NA,N,1035.20913,4/26/19,210499.34,2681179340,MULTIPOLYGON (((229573.9 47...,20.6,26.1,30,45,56,62.6,70.4,66.3,61.4,50.7,33.4,28.9,28.4,27.4,38.6,41.1,53.6,64.9,74.3,68.3,59.4,48.9,42.6,29.3,26,22,36.8,46.1,54.3,66.8,67.9,70.2,61.8,55.8,37.1,34,16.9,24.2,34.7,44.4,58,64.6,68.8,68.9,60.8,47.9,40.6,28.3
2021,Chenango,77,14.27,76,53.9,"(42.489732, -75.6049051)",254,179.3,CHEN,974107,36017,80000,Central,51768,51401,50477,47220,NA,NA,N,897.81864,10/3/18,226955.16,2325339613,MULTIPOLYGON (((464936.4 47...,20.1,25.3,29.5,44.8,54.4,61.6,70,65.4,59.8,50,33,26.6,27.8,27,37,40.1,53.3,63.6,73.8,67.8,59.2,49,41.2,29.2,23.7,21.9,34,43.8,53.2,65,66.9,68.7,60.5,54.1,35.6,32.6,15.7,23.4,33.2,42.4,57.8,62.3,68.6,69.1,59.7,48.1,40.7,27.7
2021,Otsego,365,118.7,90,56.7,"(42.6297762, -75.028841)",313,173.5,OTSE,974137,36077,360000,East,60517,61676,62259,58524,NA,NA,N,1014.86328,5/19/20,280625.62,2628483836,MULTIPOLYGON (((501372.3 47...,18.8,24.1,28.5,44,53.5,60.8,68.9,64.7,58.5,49.4,32,25.3,26.7,26,36.2,39.2,52.9,62.4,74.3,67,58.7,48.7,40.6,29.3,22.6,21.3,32.8,43.1,52.4,64.5,66.5,68.2,60.1,53.3,34.6,31.9,14.9,23.4,32.3,41.8,57.4,61.3,67.5,68.4,58.9,47.2,40.1,27.4
2021,Suffolk,1893,63.49,500,58.4,"(40.943554, -72.6922184)",1269,28.2,SUFF,974149,36103,470000,Long Island,1321864,1419369,1493350,1525920,NA,NA,N,2372.63419,NA,385044.84,6145094330,MULTIPOLYGON (((741116.9 45...,31.6,33.8,38.1,50.8,58.2,67.8,76.4,72.8,66.3,57.3,41.9,36.6,37,37.4,44,45.8,56.5,69,72.5,74.3,66.1,56.5,48.6,37.5,33,32.1,41.7,50,58.4,69.6,73.4,74.6,68.5,60.5,44.2,41.3,29.3,34.2,41.8,48.9,60.5,67.5,75.7,76.2,66.9,55.6,48.2,37.2
2021,Montgomery,152,32.28,150,48,"(42.9008912, -74.4353575)",88,59.2,MONT,974127,36057,270000,East,51981,49708,50219,49532,NA,NA,N,409.99046,2/1/18,148787.58,1061870418,MULTIPOLYGON (((534700.7 47...,19,24.8,30.8,46.6,55.9,63.8,71.8,68.1,60.1,50.9,33.9,26.6,27.8,27.6,38.2,42.4,56.1,67.1,75.3,69.8,60.7,50.1,41.9,30.9,24,22.8,34.9,46.4,55.9,68,69.3,71.2,62.7,54.8,36.8,33.6,16.9,25.1,34.2,44.9,60.4,64.9,71.6,71.8,61.2,49.8,42,29.5
2021,Schoharie,199,62.9,126,52.4,"(42.591294, -74.4381718)",157,169.7,SCHO,974145,36095,430000,East,31859,31582,32749,29714,NA,NA,N,625.8386,5/19/20,186763.71,1620914521,MULTIPOLYGON (((544585.1 47...,18.6,24.5,29.6,44.9,54.2,61.3,69.1,65.8,58.1,49.3,32.7,25.6,27,27.8,37.1,40.4,53.9,63.9,74.2,67.6,58.8,49.2,40.7,30,23.6,22,33.5,45,53.3,65.3,67.2,68.7,60.9,53.7,35.4,32.8,16.5,24.7,33.5,43.4,58.3,62.5,69.1,69.8,59.3,47.8,40.8,28.6
2021,Delaware,161,32.7,146,51.4,"(42.1939865, -74.966728)",242,180.6,DELA,974111,36025,120000,East,47225,48055,47980,44308,NA,NA,N,1466.34061,5/19/20,283395.29,3797804752,MULTIPOLYGON (((522455.6 47...,20.4,25,28.8,44.5,53.9,60.7,68.7,64.7,58.8,49.3,32.4,25.9,27.5,28,36.8,39.6,52.5,61.9,71.8,66.6,58,48.5,40.5,29.5,23.6,22.3,33.4,44.1,52.3,64.1,67,67.9,60.2,53.9,35,32.3,16.7,24.7,33.3,42.2,57,60.6,67.6,68.5,58.8,47,39.6,27.5
2021,Fulton,103,33.6,86,55.8,"(43.1156093, -74.4236782)",159,99.2,FULT,974116,36035,170000,East,54191,55073,55531,53324,NA,NA,N,532.62184,11/1/18,176010.53,1379484243,MULTIPOLYGON (((530467.6 47...,17.6,22.4,28.4,44,53.6,62.2,70,66.1,58.5,48.9,31.8,24.7,26,25.3,35.6,40.8,54.1,64.9,70.7,67.7,58.7,48,39.9,28.8,22.3,21.1,32.7,45,54.6,66,66.7,69.3,61,53.2,35.3,30.9,14.7,22.7,31.6,43,58.4,63,69.1,69.6,59.4,48.4,40.1,27.7
2021,Ulster,103,36.3,51,64.7,"(41.9472321, -74.265447)",657,121.5,ULST,974153,36111,510000,East,165304,177749,182493,181851,NA,NA,N,1161.25472,10/25/17,275405.52,3007635918,MULTIPOLYGON (((583570 4669...,23.1,27.5,32.8,47.9,56.1,64.4,72.5,68,61.6,51.4,34.9,29.1,30.2,31.3,40.1,42.9,55.7,66.5,73,70.4,61.1,51,43.8,31.6,26,24.8,37.1,47.9,55.9,68,70,71.5,62.8,56.4,37.9,35,20.3,27.5,36.5,45.6,59.6,64.1,72,72.8,61.6,49.7,41.8,30
2021,Broome,12,10.2,12,66.7,"(42.1619773, -75.830291)",953,163.4,BROO,974102,36007,30000,Central,212160,200536,200600,198683,NA,NA,N,715.28747,4/26/19,227933.33,1852586030,MULTIPOLYGON (((428899.3 46...,21.1,26.3,30.7,46.2,55.6,63,71.2,66.5,60.9,50.7,33.4,28,28.8,28.5,38.3,40.8,54,64.9,80.6,68.9,60.1,49.9,42.5,30,25,23.5,35.7,45.1,54.8,67,68.2,70,61.6,55.1,36.6,34.2,17.7,25.3,34.9,43.4,58.9,63.4,70,70.2,60.2,48.9,41.3,28.7
